channel_handle,channel_name,subscribers,n_videos,total_views,median_views,max_views,mean_duration_sec,top_video_title
@Maka91Productions,Maka91Productions,455000.0,41,1221647,17047,134464,1293,High on Life 2 - How to Get BALL GUN (All 3 BALL Guy Locations) - Achievement/Trophy Guide
@CLAPMAN,CLAPMAN,,41,523815,10920,31477,731,MICHAEL : ça va gueuler TRÈS FORT ! (CRITIQUE - sans spoilers)
@LucienDarcourt,Lucien Darcourt,,41,758089,12050,81020,4466,Henri Poincaré — Le dernier génie universel qui a tout découvert avant tout le monde | documentaire!
@DetoxBurnAtHome,Detox & Burn at Home,201000.0,41,5692888,83392,858210,1602,"Full Body Tai Chi for Beginners | Lower Cortisol, Burn Calories and Reduce Belly Fat"
@Rhykker,Rhykker,710000.0,41,4529627,94975,309661,1441,Diablo 4 Lord of Hatred Season 13 Ultimate Beginner Guide
channel/UCypXkiAYzkq5uPEpQwkjpMQ,Lex AI,219000.0,41,492192,9806,51930,274,Stop Wasting Hours Recording Voiceovers Do This Instead (AI Workflow)
@JeremyJahns,Jeremy Jahns,2080000.0,41,14036716,326359,794224,442,Iron Lung - Movie Review
@Nostalgicgirl,Ashley Hargrove,532.0,41,14783,27,10058,2543,Marriage Bites - Vampire Movie
@DIYWoodworkingProjects3489,DIY Woodworking Projects,589000.0,41,759838,4257,184791,1396,Creative DIY woodworking Ideas // Wooden Box With A Unique Drawer Mechanism
@biggaming64,BigGaming64,1000000.0,41,4652312,80846,328699,3683,"When The Horror Game Is ""Medically Accurate"""
@HelloYinny,Hello Yinny,65600.0,40,820300,13474,115917,3946,Yandere Sebastian Is OBSESSED & H*RNY (again) | Stardew Valley
@HistoryFound_YT,History Found,39200.0,40,534889,5334,127938,7010,"The ENTIRE History of IRAN | 2,500 Years of Empire, Conquest & Survival | History Documentary"
@GummyBearGaming.,Gummy Bear Gaming,11600.0,40,8265,168,555,696,Valentine's Family Trip! | Virtual Families 3 | 2026
@ancestralsupervivencia,Cocina de Supervivencia,13200.0,40,601983,2365,177126,997,"Las bolas de sopa de supervivencia olvidadas de la década de 1930. Hazlo una vez, come por 2 años."
@damianGD08,DamianGD,693000.0,40,3101197,41515,469947,5852,🔶TODOS PIENSAN QUE ES DEBIL PERO DESBLOQUEO SUS PODERES🔥| RESUMEN ANIME
@kajipm,Kaji Pm,,40,2386581,21155,574184,1180,10 Min Reggaeton Dance Workout | Full Body HIIT to Burn Fat
@evafitness.mirapham,Eva Fitness,1730000.0,40,754726,16972,44979,1681,30 min Lose Belly Fat | Aerobic Dance Workout To Lose Weight FAST | Eva Fitness
@aloondra_tejedaa,Alondra Tejeda,903000.0,40,1770762,27642,264127,366,Rutina después de la escuela para niñas de 9 a 17 años 🍓
@LillySabri,Lilly Sabri,6690000.0,40,3820047,77968,308155,722,10 Min Daily Abs Workout with Lilly Sabri | No equipment
@OliverSjostrom,Oliver Sjostrom,1780000.0,39,1999528,45309,137350,1733,BURN 500 CALORIES with this 30 Minute Cardio HIIT Workout at Home (No Equipment)
@PrepworksEducation,Prepworks Education,30300.0,39,765854,4733,118759,698,2026 AP World Full Review (EVERYTHING YOU NEED TO KNOW!!) | AP World History: Modern
@PopWaveHits-o3n,PopWave Hits,,39,1267348,9731,338292,11718,Top Songs Cover HotHit Pop Playlist 🎙✨ 2026 | Velu Music Vol.4
@lenaferq,Lena Fernández,196000.0,39,591036,15796,34317,1901,"TODO lo que hago para BAJAR GRASA *mis hábitos* 🍑 | comidas, gym y hábitos realistas"
@NotreHistoiredoc,Notre Histoire,,39,3269650,53471,744648,4166,"Farah Pahlavi, la dernière impératrice face à la révolution iranienne – Documentaire Histoire - AT"
@DRKRoficial,DARKER ,2310.0,39,69027,765,12352,467,OBSESION (2026): 😨 ESTO NO Me Lo ESPERABA | Reseña | Película | DRKR
@ItalianBach,ItalianBach,1370000.0,39,28694759,681823,1708052,1873,The Rich vs Poor Side of Coachella
